Date : 2025-05-02 21:19:45
Directory : /Users/puruwo/dev/flutter/kakeibo_v3
Total : 226 files,  12461 codes, 1858 comments, 2209 blanks, all 16528 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/main.dart                                                                                                                  | Dart            |         64 |          1 |          3 |         68 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/model/assets_conecter/category_handler.dart                                                                                | Dart            |         43 |          1 |         11 |         55 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/model/database_helper.dart                                                                                                 | Dart            |         72 |         33 |         17 |        122 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/model/db_delete_impl.dart                                                                                                  | Dart            |          8 |          1 |          6 |         15 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/model/db_read_impl.dart                                                                                                    | Dart            |        144 |         57 |         25 |        226 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/model/sql_sentence.dart                                                                                                    | Dart            |        152 |          1 |         17 |        170 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/model/tableNameKey.dart                                                                                                    | Dart            |        118 |          0 |         24 |        142 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/providerLogger.dart                                                                                                        | Dart            |         43 |          2 |          8 |         53 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/repository/aggregation_start_day_repository.dart                                                                           | Dart            |         10 |          1 |          4 |         15 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/repository/all_category_repository.dart                                                                                    | Dart            |         35 |          5 |          8 |         48 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/repository/big_category_repository.dart                                                                                    | Dart            |         40 |          3 |         11 |         54 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/repository/category_repository.dart                                                                                        | Dart            |         49 |          3 |          6 |         58 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/repository/daily_expense_repository.dart                                                                                   | Dart            |         24 |          4 |         11 |         39 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/repository/expense_repository.dart                                                                                         | Dart            |         58 |          2 |          9 |         69 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/repository/small_category_repository.dart                                                                                  | Dart            |         60 |          5 |         11 |         76 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/repository/small_category_tile_repository.dart                                                                             | Dart            |         36 |         11 |          8 |         55 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/repository/tbl003_record/tbl003_record.dart                                                                                | Dart            |         31 |          4 |          9 |         44 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/repository/tbl003_record/tbl003_record.freezed.dart                                                                        | Dart            |        171 |         15 |         26 |        212 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/repository/tbl003_record/tbl003_record.g.dart                                                                              | Dart            |         15 |          4 |          5 |         24 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/util/extension/datetime_extension.dart                                                                                     | Dart            |          8 |          0 |          2 |         10 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/util/extension/media_query_extension.dart                                                                                  | Dart            |         23 |          3 |          5 |         31 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/util/number_text_input_formatter.dart                                                                                      | Dart            |         52 |          0 |          1 |         53 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/util/screen_size_func.dart                                                                                                 | Dart            |         22 |          5 |          4 |         31 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/util/util.dart                                                                                                             | Dart            |         39 |          4 |          5 |         48 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/component/app_exception.dart                                                                                          | Dart            |          8 |          3 |          2 |         13 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/component/failure_snackbar.dart                                                                                       | Dart            |         20 |          1 |          3 |         24 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/component/loading.dart                                                                                                | Dart            |         17 |          0 |          4 |         21 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/component/success_snackbar.dart                                                                                       | Dart            |         20 |          1 |          3 |         24 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/foundation.dart                                                                                                       | Dart            |        110 |         11 |         16 |        137 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/home/calendar/calendar_area.dart                                                                                      | Dart            |        139 |         29 |         33 |        201 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/home/calendar/date_box.dart                                                                                           | Dart            |        208 |          7 |         17 |        232 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/home/calendar_next_arrow_button.dart                                                                                  | Dart            |         18 |          1 |          4 |         23 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/home/calendar_previous_arrow_button.dart                                                                              | Dart            |         18 |          1 |          4 |         23 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/home/expense_history/exense_history_tile.dart                                                                         | Dart            |        225 |         19 |         16 |        260 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/home/expense_history/expence_history_list_area.dart                                                                   | Dart            |        130 |         16 |         25 |        171 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/home/home.dart                                                                                                        | Dart            |         41 |          3 |          7 |         51 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/other_page/budget_setting_page.dart                                                                                   | Dart            |        435 |         99 |         55 |        589 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/other_page/category_setting_page.dart                                                                                 | Dart            |        514 |        101 |         62 |        677 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/other_page/check_box.dart                                                                                             | Dart            |         32 |          0 |          4 |         36 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/other_page/color_select_page.dart                                                                                     | Dart            |        111 |          7 |         12 |        130 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/other_page/icon_select_page.dart                                                                                      | Dart            |        117 |          7 |         12 |        136 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/other_page/small_category_edit_page.dart                                                                              | Dart            |        580 |        133 |         81 |        794 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/presentation_mixin.dart                                                                                               | Dart            |         29 |          3 |          9 |         41 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/register_page/category_area/category_area.dart                                                                        | Dart            |         98 |         14 |         18 |        130 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/register_page/category_area/icon_box/none_icon_button.dart                                                            | Dart            |         37 |          1 |          6 |         44 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/register_page/category_area/icon_box/normal_icon_button.dart                                                          | Dart            |         60 |          1 |          9 |         70 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/register_page/category_area/icon_box/selected_icon_button.dart                                                        | Dart            |         56 |          1 |          9 |         66 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/register_page/input_molecule/date_input_field.dart                                                                    | Dart            |         72 |          6 |         11 |         89 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/register_page/input_molecule/expense_input_field.dart                                                                 | Dart            |         80 |         24 |         19 |        123 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/register_page/input_molecule/memo_input_field.dart                                                                    | Dart            |         72 |         23 |         18 |        113 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/register_page/submit_expense_button.dart                                                                              | Dart            |         70 |         14 |         15 |         99 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/register_page/torok.dart                                                                                              | Dart            |         97 |         12 |         32 |        141 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/third_page/next_arrow_button.dart                                                                                     | Dart            |         18 |          2 |          4 |         24 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/third_page/prediction_graph.dart                                                                                      | Dart            |        473 |         97 |        113 |        683 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/third_page/previous_arrow_button.dart                                                                                 | Dart            |         18 |          2 |          4 |         24 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/third_page/third_page.dart                                                                                            | Dart            |        140 |         14 |         22 |        176 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/third_page/tile/all_category_sum_tile.dart                                                                            | Dart            |        261 |         27 |         20 |        308 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/third_page/tile/all_category_tile_area.dart                                                                           | Dart            |         20 |          0 |          5 |         25 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/third_page/tile/category_sum_tile.dart                                                                                | Dart            |        315 |         34 |         28 |        377 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view/third_page/tile/category_tile_area.dart                                                                               | Dart            |         26 |          2 |          4 |         32 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/category_sum_getter.dart                                                                                        | Dart            |          6 |          0 |          6 |         12 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/middle_provider/resolved_all_category_tile_entity_provider/resolved_all_category_tile_entity_provider.dart      | Dart            |         10 |          3 |          4 |         17 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/middle_provider/resolved_all_category_tile_entity_provider/resolved_category_tile_entity_provider.dart          | Dart            |         10 |          2 |          4 |         16 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/middle_provider/resolved_all_category_tile_entity_provider/resolved_expense_history_value_provider.dart         | Dart            |         10 |          2 |          4 |         16 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/reference_day_impl.dart                                                                                         | Dart            |         70 |         11 |          8 |         89 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/calendar_page/is_datebox_selected/is_datebox_selected.dart                                                | Dart            |         11 |          1 |          2 |         14 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/calendar_page/page_controller/calendar_page_controller.dart                                               | Dart            |         18 |          4 |          4 |         26 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/calendar_page/page_controller/calendar_page_controller.g.dart                                             | Dart            |         15 |          7 |          6 |         28 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/category_edit_page/edit_mode.dart                                                                         | Dart            |         13 |          2 |          4 |         19 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/category_edit_page/edit_mode.g.dart                                                                       | Dart            |         14 |          7 |          6 |         27 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/date_scope/date_scope.dart                                                                                | Dart            |         19 |          0 |          3 |         22 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/date_scope/entity/date_scope_entity.dart                                                                  | Dart            |         10 |          0 |          2 |         12 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/date_scope/entity/date_scope_entity.freezed.dart                                                          | Dart            |        127 |         15 |         26 |        168 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/date_scope/selected_datetime/selected_datetime.dart                                                       | Dart            |         21 |          2 |          5 |         28 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/date_scope/selected_datetime/selected_datetime.g.dart                                                     | Dart            |         15 |          7 |          6 |         28 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/date_scope/selected_period/selected_period.dart                                                           | Dart            |          7 |          0 |          2 |          9 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/initial_open.dart                                                                                         | Dart            |         12 |          3 |          2 |         17 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/initial_open.g.dart                                                                                       | Dart            |         15 |          7 |          6 |         28 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/navigation_bar_number.dart                                                                                | Dart            |         12 |          4 |          4 |         20 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/navigation_bar_number.g.dart                                                                              | Dart            |         15 |          7 |          6 |         28 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/register_page/entered_memo_controller.dart                                                                | Dart            |          6 |          0 |          1 |          7 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/register_page/entered_price_controller.dart                                                               | Dart            |         12 |          0 |          1 |         13 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/register_page/input_date_controller/input_date_controller.dart                                            | Dart            |         12 |          0 |          3 |         15 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/register_page/input_date_controller/input_date_controller.g.dart                                          | Dart            |         15 |          7 |          6 |         28 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/register_page/is_registerable.dart                                                                        | Dart            |         12 |          3 |          3 |         18 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/register_page/is_registerable.g.dart                                                                      | Dart            |         15 |          7 |          6 |         28 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/register_page/original_expense_entity/original_expense_entity.dart                                        | Dart            |         17 |          0 |          4 |         21 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/register_page/original_expense_entity/original_expense_entity.g.dart                                      | Dart            |         15 |          7 |          6 |         28 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/register_page/register_screen_mode/register_screen_mode.dart                                              | Dart            |         16 |          0 |          4 |         20 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/register_page/register_screen_mode/register_screen_mode.g.dart                                            | Dart            |         15 |          7 |          6 |         28 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/register_page/select_category_controller/select_category_controller.dart                                  | Dart            |         29 |          0 |          4 |         33 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/register_page/select_category_controller/select_category_controller.g.dart                                | Dart            |         16 |          7 |          6 |         29 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/register_page/selected_segment_status.dart                                                                | Dart            |         13 |          2 |          3 |         18 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/register_page/selected_segment_status.g.dart                                                              | Dart            |         15 |          7 |          6 |         28 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/small_category_edit_page/selected_color.dart                                                              | Dart            |         14 |          2 |          5 |         21 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/small_category_edit_page/selected_color.g.dart                                                            | Dart            |         15 |          7 |          6 |         28 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/small_category_edit_page/selected_icon_path.dart                                                          | Dart            |         13 |          2 |          5 |         20 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/small_category_edit_page/selected_icon_path.g.dart                                                        | Dart            |         15 |          7 |          6 |         28 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/update_DB_count.dart                                                                                      | Dart            |         12 |          3 |          4 |         19 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/view_model/state/update_DB_count.g.dart                                                                                    | Dart            |         15 |          7 |          6 |         28 |
| /Users/puruwo/dev/flutter/kakeibo_v3/linux/flutter/generated_plugin_registrant.cc                                                                                   | C++             |          7 |          4 |          5 |         16 |
| /Users/puruwo/dev/flutter/kakeibo_v3/linux/flutter/generated_plugin_registrant.h                                                                                    | C++             |          5 |          5 |          6 |         16 |
| /Users/puruwo/dev/flutter/kakeibo_v3/linux/main.cc                                                                                                                  | C++             |          5 |          0 |          2 |          7 |
| /Users/puruwo/dev/flutter/kakeibo_v3/linux/my_application.cc                                                                                                        | C++             |         74 |         11 |         20 |        105 |
| /Users/puruwo/dev/flutter/kakeibo_v3/linux/my_application.h                                                                                                         | C++             |          7 |          7 |          5 |         19 |
| /Users/puruwo/dev/flutter/kakeibo_v3/macos/Flutter/GeneratedPluginRegistrant.swift                                                                                  | Swift           |         12 |          3 |          4 |         19 |
| /Users/puruwo/dev/flutter/kakeibo_v3/macos/Podfile                                                                                                                  | Ruby            |         33 |          1 |         10 |         44 |
| /Users/puruwo/dev/flutter/kakeibo_v3/macos/Runner/AppDelegate.swift                                                                                                 | Swift           |          8 |          0 |          2 |         10 |
| /Users/puruwo/dev/flutter/kakeibo_v3/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                                                                  | JSON            |         68 |          0 |          1 |         69 |
| /Users/puruwo/dev/flutter/kakeibo_v3/macos/Runner/Base.lproj/MainMenu.xib                                                                                           | XML             |        343 |          0 |          1 |        344 |
| /Users/puruwo/dev/flutter/kakeibo_v3/macos/Runner/MainFlutterWindow.swift                                                                                           | Swift           |         12 |          0 |          4 |         16 |
| /Users/puruwo/dev/flutter/kakeibo_v3/macos/RunnerTests/RunnerTests.swift                                                                                            | Swift           |          7 |          2 |          4 |         13 |
| /Users/puruwo/dev/flutter/kakeibo_v3/pubspec.yaml                                                                                                                   | YAML            |         78 |         54 |         15 |        147 |
| /Users/puruwo/dev/flutter/kakeibo_v3/pubspec_bk20250226.yaml                                                                                                        | YAML            |         16 |         60 |         15 |         91 |
| /Users/puruwo/dev/flutter/kakeibo_v3/test/daily_expense_repository_test copy.dart                                                                                   | Dart            |         20 |          7 |          5 |         32 |
| /Users/puruwo/dev/flutter/kakeibo_v3/test/fake_datebase_helper/fake_database_helper.dart                                                                            | Dart            |         41 |         11 |         11 |         63 |
| /Users/puruwo/dev/flutter/kakeibo_v3/test/fake_fetch_previous_month_period.dart                                                                                     | Dart            |         15 |          6 |          5 |         26 |
| /Users/puruwo/dev/flutter/kakeibo_v3/test/month_period_fetch_test.dart                                                                                              | Dart            |        142 |         28 |         26 |        196 |
| /Users/puruwo/dev/flutter/kakeibo_v3/test/widget_test.dart                                                                                                          | Dart            |         14 |         10 |          7 |         31 |
| /Users/puruwo/dev/flutter/kakeibo_v3/web/index.html                                                                                                                 | HTML            |         38 |         16 |          6 |         60 |
| /Users/puruwo/dev/flutter/kakeibo_v3/web/manifest.json                                                                                                              | JSON            |         35 |          0 |          1 |         36 |
| /Users/puruwo/dev/flutter/kakeibo_v3/windows/flutter/generated_plugin_registrant.cc                                                                                 | C++             |          6 |          4 |          5 |         15 |
| /Users/puruwo/dev/flutter/kakeibo_v3/windows/flutter/generated_plugin_registrant.h                                                                                  | C++             |          5 |          5 |          6 |         16 |
| /Users/puruwo/dev/flutter/kakeibo_v3/windows/runner/flutter_window.cpp                                                                                              | C++             |         49 |          7 |         16 |         72 |
| /Users/puruwo/dev/flutter/kakeibo_v3/windows/runner/flutter_window.h                                                                                                | C++             |         20 |          5 |          9 |         34 |
| /Users/puruwo/dev/flutter/kakeibo_v3/windows/runner/main.cpp                                                                                                        | C++             |         30 |          4 |         10 |         44 |
| /Users/puruwo/dev/flutter/kakeibo_v3/windows/runner/resource.h                                                                                                      | C++             |          9 |          6 |          2 |         17 |
| /Users/puruwo/dev/flutter/kakeibo_v3/windows/runner/utils.cpp                                                                                                       | C++             |         54 |          2 |         10 |         66 |
| /Users/puruwo/dev/flutter/kakeibo_v3/windows/runner/utils.h                                                                                                         | C++             |          8 |          6 |          6 |         20 |
| /Users/puruwo/dev/flutter/kakeibo_v3/windows/runner/win32_window.cpp                                                                                                | C++             |        210 |         24 |         55 |        289 |
| /Users/puruwo/dev/flutter/kakeibo_v3/windows/runner/win32_window.h                                                                                                  | C++             |         48 |         31 |         24 |        103 |
| Total                                                                                                                                                               |                 |     12,461 |      1,858 |      2,209 |     16,528 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
